link,title,date
/blog/getting-up-to-speed-on-a-production-code-base,Getting Acquainted With A Production Code Base,June 18 2019
/blog/staff-spotlight-zach-derossette,"Staff Spotlight - Zach DeRossette, Career Coach",May 22 2019
/blog/student-interview-lena-ryoo,Student Interview: Lena Ryoo on Company Projects,May 15 2019
/blog/debugging-like-a-scientist,Debugging Like a Scientist,April 29 2019
/blog/benefits-of-code-reviews,The Benefits of Code Reviews,March 29 2019
/blog/three-more-js-mistakes-that-beginners-make,Three More JavaScript Mistakes That Beginners Make,March 07 2019
/blog/alumni-spotlight-miranda,Alumni Spotlight: Miranda Howitt,February 12 2019
/blog/alumni-spotlight-kristen,Alumni Spotlight: Kristen Lingwood,February 06 2019
/blog/alumni-spotlight-tyler,Alumni Spotlight: Tyler Ketron,January 30 2019
/blog/avoiding-burnout,Avoiding Burnout,January 09 2019
